481,Baden-Württemberg,Stuttgart,Friedrichstraße 14.,70174
482,Baden-Württemberg,Stuttgart,Schellingstraße 24,70174
483,Baden-Württemberg,Stuttgart,Nobelstraße 10,70569
484,Baden-Württemberg,Stuttgart,Kölner Straße 38,70376
485,Baden-Württemberg,Stuttgart,Urbanstraße 25,70182
486,Baden-Württemberg,Stuttgart,Naststraße 11/Im Römerkastell,70376
487,Baden-Württemberg,Stuttgart,Tübinger Str. 12-16,70178
488,Baden-Württemberg,Stuttgart,Teckstraße 58,70190
489,Baden-Württemberg,Stuttgart,Keplerstraße 7,70174
490,Baden-Württemberg,Stuttgart,Haußmannstraße 44a,70188
491,Baden-Württemberg,Stuttgart,Wolframstraße 32,70191
492,Nordrhein-Westfalen,Iserlohn,Baarstraße 6,58636
493,Thüringen,Gotha,Bahnhofstraße 12,99867
494,Rheinland-Pfalz,Trier,Schneidershof,54293
495,Rheinland-Pfalz,Trier,Universitätsring 19,54296
496,Rheinland-Pfalz,Trier,Universitätsring 15,54296
497,Baden-Württemberg,Trossingen,Schultheiß-Koch-Platz 3,78647
498,Baden-Württemberg,Tübingen,Gartenstraße 12,72074
499,Baden-Württemberg,Tübingen,Geschwister-Scholl-Platz,72074
500,Baden-Württemberg,Ulm,Prittwitzstraße 10,89075
501,Baden-Württemberg,Ulm,Albert-Einstein-Allee 11,89081
502,Rheinland-Pfalz,Vallendar,Pallottistraße 3,56179
503,Rheinland-Pfalz,Vallendar,Burgplatz 2,56179
504,Niedersachsen,Vechta,Rombergstraße 40,49377
505,Niedersachsen,Vechta,Driverstraße 22,49377
506,Schleswig-Holstein,Wedel,Feldstraße 143,22880
507,Bayern,Freising,Am Hofgarten 4,85354
508,Thüringen,Weimar,Platz der Demokratie 2/3,99423
509,Thüringen,Weimar,Geschwister-Scholl-Straße 8,99423
510,Baden-Württemberg,Weingarten,Kirchplatz 2,88250
511,Niedersachsen,Hameln,Am Stockhof 2,31785
512,Nordrhein-Westfalen,Gelsenkirchen,Neidenburger Straße 43,45897
513,Schleswig-Holstein,Heide,Fritz-Thiedemann-Ring 20,25746
514,Hessen,Wiesbaden,Moritzstr. 17a,65185
515,Hessen,Wiesbaden,Gustav-Stresemann-Ring 3,65189
516,Brandenburg,Wildau,Hochschulring 1,15745
517,Niedersachsen,Wilhelmshaven,Friedrich-Paffrath-Straße 101,26389
518,Mecklenburg-Vorpommern,Wismar,Philipp-Müller-Straße 14,23966
519,Nordrhein-Westfalen,Witten,Alfred-Herrhausen-Str. 50,58448
520,Rheinland-Pfalz,Worms,Erenburgerstr. 19,67549
521,Nordrhein-Westfalen,Wuppertal,Missionsstraße 9 a/b,42285
522,Nordrhein-Westfalen,Wuppertal,Gaußstraße 20,42119
523,Bayern,Würzburg,Hofstallstraße 6-8,97070
524,Bayern,Würzburg,Münzstraße 12,97070
525,Bayern,Würzburg,Sanderring 2,97070
526,Sachsen,Zittau,Theodor-Körner-Allee 16,2763
527,Sachsen,Zwickau,Kornmarkt 1,8056
