Hannover LeibnizFH,Leibniz-Fachhochschule,584,1920,http://www.leibniz-fh.de
Hannover MedH,Medizinische Hochschule Hannover (MHH),3923,1963,http://www.mh-hannover.de
Hannover TiHo,Stiftung Tierärztliche Hochschule Hannover,2347,1778,http://www.tiho-hannover.de
Hannover U,Gottfried Wilhelm Leibniz Universität Hannover,27323,1831,http://www.uni-hannover.de
Harz H,"Hochschule Harz, Hochschule für angewandte Wissenschaften (FH)",3017,1991,http://www.hs-harz.de
Heidelberg H,SRH Hochschule Heidelberg - Staatlich anerkannte Fachhochschule,3112,1969,http://www.hochschule-heidelberg.de/?utm_source=WKZ-HD5003AA04
Heidelberg HfJS,Hochschule für Jüdische Studien Heidelberg,105,1979,http://www.hfjs.eu
Heidelberg HfKiM,Hochschule für Kirchenmusik der Evangelischen Landeskirche in Baden,44,1931,http://www.hfk-heidelberg.de
Heidelberg HFresen,Hochschule Fresenius Heidelberg – staatlich anerkannte Hochschule der Hochschule Fresenius für Internationales Management GmbH,672,2012,https://www.hs-fresenius.de/standort/heidelberg/?crmid=aBbWvOcDeBjAaAaA
Heidelberg PH,Pädagogische Hochschule Heidelberg,5271,1904,http://www.ph-heidelberg.de
Heidelberg U,Ruprecht-Karls-Universität Heidelberg,29534,1386,http://www.uni-heidelberg.de
Heilbronn H,"Hochschule Heilbronn, Technik, Wirtschaft, Informatik",7159,1961,http://www.hs-heilbronn.de
Herford HfKiM,Hochschule für Kirchenmusik der Evangelischen Kirche von Westfalen,46,1948,https://www.hochschule-kirchenmusik.de
Hermannsburg FIT,Fachhochschule für Interkulturelle Theologie Hermannsburg,78,2012,http://www.fh-hermannsburg.de/
Hessen HFinanz/Recht (Verw),Hessische Hochschule für Finanzen und Rechtspflege Rotenburg a.d. Fulda,2610,2006,https://studienzentrum-rotenburg.hessen.de/hhfr
Hessen HOeffManagement(Verw),Hessische Hochschule für öffentliches Management und Sicherheit,4271,2022,https://hoems.hessen.de/
Hildesheim U,Universität Hildesheim,7995,1978,https://www.uni-hildesheim.de
Hildesh./Holzm./Göttingen H,HAWK Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen,6325,1971,https://www.hawk.de/de
Hof H,Hochschule für angewandte Wissenschaften Hof,3822,1994,http://www.hof-university.de
Hohenheim U,Universität Hohenheim,8482,1818,http://www.uni-hohenheim.de
Idstein HFresen,Hochschule Fresenius,16028,1848,https://www.hs-fresenius.de/studienberatung/?crmid=aBbWvOcDaAaAaAaA
Ilmenau TU,Technische Universität Ilmenau,4452,1894,http://www.tu-ilmenau.de
Ingolstadt TH,Technische Hochschule Ingolstadt,7537,1994,https://www.thi.de
Ismaning HAM,Hochschule für angewandtes Management,3646,2004,http://www.fham.de
Jena H,Ernst-Abbe-Hochschule Jena - University of Applied Sciences,4330,1991,https://www.eah-jena.de/
Jena U,Friedrich-Schiller-Universität Jena,16588,1558,http://www.uni-jena.de
Kaiserslautern H,Hochschule Kaiserslautern (University of Applied Sciences),5846,1996,www.hs-kl.de
Kaiserslautern-Landau RPTU,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,18520,1970,https://www.rptu.de/
Karlsruhe AkdBK,Staatliche Akademie der Bildenden Künste Karlsruhe,362,1854,http://www.kunstakademie-karlsruhe.de
Karlsruhe H,Hochschule Karlsruhe - Technik und Wirtschaft,6814,1878,http://www.h-ka.de
Karlsruhe HfGest,Staatliche Hochschule für Gestaltung Karlsruhe,376,1992,http://www.hfg-karlsruhe.de
Karlsruhe HfM,Hochschule für Musik Karlsruhe,577,1812,http://www.hfm-karlsruhe.de
Karlsruhe KIU,Karlshochschule International University - staatlich anerkannte Hochschule der Karlshochschule gemeinnützige GmbH Karlsruhe,361,2005,http://www.karlshochschule.de
Karlsruhe PH,Pädagogische Hochschule Karlsruhe,3552,1962,http://www.ph-karlsruhe.de
Karlsruhe U KIT,Karlsruher Institut für Technologie,22201,2009,http://www.kit.edu
Kassel CVJM,CVJM-Hochschule,458,2009,http://www.cvjm-hochschule.de/
Kassel U,Universität Kassel,21791,1971,http://www.uni-kassel.de
Kempten H,Hochschule für angewandte Wissenschaften Kempten,4777,1977,http://www.hs-kempten.de
Kiel FH,Fachhochschule Kiel,7670,1969,http://www.fh-kiel.de
Kiel KuH,Muthesius Kunsthochschule,541,1994,http://www.muthesius-kunsthochschule.de/de/
Kiel U,Christian-Albrechts-Universität zu Kiel,25940,1665,http://www.uni-kiel.de
Koblenz H,Hochschule Koblenz,8992,1996,http://www.hs-koblenz.de
Koblenz HfG,Hochschule für Gesellschaftsgestaltung,126,2015,https://www.hfgg.de
Koblenz U,Universität Koblenz,9485,1990,https://www.uni-koblenz.de/de
Köln CBS,CBS International Business School - University of Applied Sciences,2475,1993,https://www.cbs.de/
Köln DSHS,Deutsche Sporthochschule Köln,6098,1947,http://www.dshs-koeln.de
Köln HfMT,Hochschule für Musik und Tanz Köln,1398,1845,http://www.hfmt-koeln.de
Köln INU,INU - Innovative University of Applied Sciences,,2022,https://www.inu.de/
Köln KHKT,Kölner Hochschule für Katholische Theologie (KHKT),85,,www.khkt.de
Köln KolpingH,Kolping Hochschule,19,2019,https://www.kolping-hochschule.de/
Köln KuHMedien,Kunsthochschule für Medien Köln,413,1990,http://www.khm.de
Köln RheinH,Rheinische Hochschule Köln,5817,1958,https://www.rh-koeln.de
Köln TH,Technische Hochschule Köln,24294,1971,http://www.th-koeln.de
Köln U,Universität zu Köln,48063,1388,https://uni-koeln.de
Konstanz AllensbachH,"Allensbach Hochschule Konstanz,  staatlich anerkannte Hochschule der European Education Group GmbH",640,1996,https://www.allensbach-hochschule.de/
Konstanz H,"Hochschule Konstanz Technik, Wirtschaft und Gestaltung",4360,1906,http://www.htwg-konstanz.de
Konstanz U,Universität Konstanz,10472,1966,https://www.uni-konstanz.de/
Landshut H,Hochschule Landshut - Hochschule für angewandte Wissenschaften,4674,1978,http://www.haw-landshut.de
Leipzig HfGuB,Hochschule für Grafik und Buchkunst Leipzig,589,1764,http://www.hgb-leipzig.de
Leipzig HHL,HHL Leipzig Graduate School of Management,739,1898,http://www.hhl.de
Leipzig HMT,Hochschule für Musik und Theater Felix Mendelssohn Bartholdy Leipzig,1129,1843,http://www.hmt-leipzig.de
Leipzig HTWK,"Hochschule für Technik, Wirtschaft und Kultur Leipzig",6843,1992,http://www.htwk-leipzig.de
Leipzig U,Universität Leipzig,29582,1409,http://www.uni-leipzig.de
Lübeck HfM,Musikhochschule Lübeck,416,1973,http://www.mh-luebeck.de
Lübeck TH,Technische Hochschule Lübeck,5138,1808,https://www.th-luebeck.de/
Lübeck U,Universität zu Lübeck,5958,1964,http://www.uni-luebeck.de
Ludwigsburg EvH,"Evangelische Hochschule Ludwigsburg, Hochschule für Soziale ",1279,1999,
Ludwigsburg PH,Pädagogische Hochschule Ludwigsburg,5988,1962,http://www.ph-ludwigsburg.de
Ludwigshafen HWG,Hochschule für Wirtschaft und Gesellschaft Ludwigshafen ,4400,1965,http://www.hwg-lu.de
Lüneburg U,Leuphana Universität Lüneburg,9268,1946,https://www.leuphana.de/services/studierendenservice/infoportal-erstauskunft-zum-studium.html
Magdeburg SH,Steinbeis Hochschule,4626,1998,https://www.steinbeis-hochschule.de/
Magdeburg-Stendal H,Hochschule Magdeburg-Stendal,5258,1991,http://www.h2.de
Magdeburg U,Otto-von-Guericke-Universität Magdeburg,12490,1993,http://www.ovgu.de
Mainz H,Hochschule Mainz,5621,1996,https://www.hs-mainz.de/
Mainz KathH,Katholische Hochschule Mainz Catholic University of Applied Sciences,1543,1972,https://www.kh-mz.de/katholische-hochschule/
Mainz U,Johannes Gutenberg-Universität Mainz,29617,1477,http://www.uni-mainz.de
Mannheim H,Hochschule Mannheim,5034,1898,http://www.hs-mannheim.de
Mannheim HdBA (Verw),Hochschule der Bundesagentur für Arbeit - Staatlich anerkannte Hochschule für angewandte Wissenschaft in Mannheim und Schwerin (University of Applied Labour Studies of the Federal Employment Agency),1514,2006,http://www.hdba.de/
Mannheim HdWM,Hochschule der Wirtschaft für Management,290,2011,http://www.hdwm.de
Mannheim HfM,Staatliche Hochschule für Musik und Darstellende Kunst Mannheim,575,1971,http://www.muho-mannheim.de
Mannheim U,Universität Mannheim,11397,1907,http://www.uni-mannheim.de
Marburg EHTabor,Evangelische Hochschule Tabor,165,1909,www.eh-tabor.de
Marburg HArchiv (Verw),Archivschule Marburg - Hochschule für Archivwissenschaft,73,,https://www.archivschule.de/DE/ausbildung/gehobener-dienst/
Marburg U,Philipps-Universität Marburg,21237,1527,http://www.uni-marburg.de
Mecklenburg-Vorp. FHVerw (Verw),"Fachhochschule für öffentliche Verwaltung, Polizei und Rechtspflege des Landes Mecklenburg-Vorpommern",669,,http://www.fh-guestrow.de
Merseburg H,Hochschule Merseburg,2953,1992,http://www.hs-merseburg.de
Mittelhessen THM,Technische Hochschule Mittelhessen - THM,16795,1971,http://www.thm.de
